customer_id,customer_name,email,registration_date,customer_type
CUST-00001,Michael Davis,michael.davis1@store.net,2023-09-09 00:00:00,REGULAR
CUST-00002,Michael Moore,michael.moore2@example.com,2022-08-14 00:00:00,REGULAR
CUST-00003,William Smith,william.smith3@yahoo.com,2023-03-09 00:00:00,REGULAR
CUST-00004,Robert Miller,robert.miller4@outlook.com,2022-04-15 00:00:00,REGULAR
CUST-00005,Patricia Lopez,patricia.lopez5@outlook.com,2023-09-11 00:00:00,REGULAR
CUST-00006,Mary Anderson,mary.anderson6@store.net,2022-05-08 00:00:00,VIP
CUST-00007,Richard Williams,richard.williams7@store.net,2022-10-28 00:00:00,PREMIUM
CUST-00008,Karen Lopez,karen.lopez8@store.net,2022-07-16 00:00:00,PREMIUM
CUST-00009,Mary Davis,mary.davis9@outlook.com,2022-03-23 00:00:00,PREMIUM
CUST-00010,Patricia Gonzalez,patricia.gonzalez10@outlook.com,2023-04-10 00:00:00,REGULAR
CUST-00011,Barbara Garcia,barbara.garcia11@outlook.com,2022-12-30 00:00:00,REGULAR
CUST-00012,William Williams,william.williams12@store.net,2023-10-13 00:00:00,REGULAR
CUST-00013,Linda Garcia,linda.garcia13@example.com,2023-01-24 00:00:00,REGULAR
CUST-00014,Sarah Davis,sarah.davis14@outlook.com,2022-02-27 00:00:00,REGULAR
CUST-00015,Mary Hernandez,mary.hernandez15@example.com,2022-10-02 00:00:00,REGULAR
CUST-00016,Charles Hernandez,charles.hernandez16@yahoo.com,2023-11-03 00:00:00,REGULAR
CUST-00017,Joseph Jones,joseph.jones17@outlook.com,2022-05-23 00:00:00,REGULAR
CUST-00018,Sarah Moore,sarah.moore18@outlook.com,2023-08-22 00:00:00,REGULAR
CUST-00019,Charles Gonzalez,charles.gonzalez19@outlook.com,2022-08-13 00:00:00,VIP
CUST-00020,Robert Taylor,robert.taylor20@example.com,2022-04-04 00:00:00,PREMIUM
CUST-00021,Patricia Jones,patricia.jones21@yahoo.com,2023-11-28 00:00:00,REGULAR
CUST-00022,John Gonzalez,john.gonzalez22@example.com,2023-09-03 00:00:00,VIP
CUST-00023,Thomas Rodriguez,thomas.rodriguez23@store.net,2022-01-12 00:00:00,REGULAR
CUST-00024,Patricia Moore,patricia.moore24@outlook.com,2023-10-19 00:00:00,REGULAR
CUST-00025,Elizabeth Wilson,elizabeth.wilson25@yahoo.com,2023-04-10 00:00:00,REGULAR
CUST-00026,William Taylor,william.taylor@domain_without_extension,2023-06-04 00:00:00,VIP
CUST-00027,Elizabeth Taylor,elizabeth.taylor27@store.net,2022-07-23 00:00:00,REGULAR
